Step,Train_Loss,Val_Loss
142,2.203372478,1.942586541
285,2.195477009,1.958690166
428,2.126554966,1.930761218
571,2.147236824,1.937504649
714,2.081254482,2.024658442
857,2.122687101,2.002660751
1000,2.116529942,2.006415606
1143,2.117669821,2.419688463
1286,2.106025696,1.970765233
1429,2.080125809,1.917994857
1572,2.092081547,2.120084524
1715,2.15787816,1.911958098
1858,2.107814789,1.944566965
2001,2.093325615,1.95464313
2144,2.057546854,1.915924311
2287,2.107640743,1.899828196
2430,2.02261734,2.570129156
2573,2.179991961,1.984447479
2716,2.125081539,1.82666111
2859,2.019578218,2.005162239
3002,2.083502054,1.810701489
3145,2.063681841,3.031749249
3288,2.190313578,2.396770239
3431,2.108232737,1.762387753
3574,2.12506032,1.823145747
3717,2.052701712,2.025828362
3860,2.108216047,2.816789389
4003,2.078119516,1.794860244
4146,2.343039989,1.958163142
4289,2.08766818,1.927535415
4432,2.123526573,2.144490719
4575,2.025243759,2.395009518
4718,2.074794531,1.715814829
4861,2.121949434,1.775905371
5004,2.114601612,1.762884736
5147,1.977736354,2.094062805
5290,2.035707474,1.89171052
5433,2.03632164,1.657345414
5576,2.172526598,2.151479721
5719,2.296162605,1.750471592
5862,2.024927378,1.784014583
6005,2.082811117,1.758449793
6148,1.935297608,1.847439528
6291,2.052233696,2.512979984
6434,2.006716013,2.626837492
6577,2.069460869,1.742318511
6720,2.082666397,1.713752151
6863,1.932742953,2.353568554
7006,1.922584891,1.647291541
7149,1.963876843,1.650052786
7292,1.89381814,2.391546249
7435,1.999064565,2.748245478
7578,1.96449852,2.282304049
7721,1.851531506,1.685357332
7864,1.940254688,1.790866613
8007,2.101886988,3.649699211
8150,2.124228954,1.772652507
8293,1.865173101,1.726282477
8436,1.873871565,2.073314428
8579,2.015687704,1.610306382
8722,1.966416955,1.729846001
8865,1.992267847,1.824081421
9008,1.816540956,2.352695704
9151,1.873473287,1.883017659
9294,1.878332973,2.02474618
9437,1.901890993,1.677119732
9580,1.87100935,1.591825962
9723,1.86722064,2.030426741
9866,1.899428368,1.674521685
10009,1.923175573,1.616609216
10152,1.94495523,1.693402529
10295,1.808718562,1.592028975
10438,1.913326383,1.889835596
10581,2.068337202,1.852218747
10724,1.759426594,1.631681323
10867,1.932004929,1.564124465
11010,1.735779524,1.531762838
11153,1.758397102,1.665790558
11296,1.747178316,2.182313919
11439,1.762117624,1.573655725
11582,1.877197027,1.926595449
11725,1.694042683,1.522339463
11868,1.838618279,1.644728422
12011,1.790452838,2.284925461
12154,1.773005486,1.547355533
12297,1.675740242,1.531317234
12440,1.774851799,1.557090521
12583,1.819197774,1.82576859
12726,1.746545672,1.50527823
12869,1.778131485,1.575967312
13012,1.658930182,1.56990397
13155,1.679158688,1.511726737
13298,1.688526869,2.069895029
13441,1.689474702,1.651999235
13584,1.647106528,1.708987951
13727,1.724644661,1.523295403
13870,1.638171792,1.494758248
14013,1.670283079,2.199357748
14156,1.707886457,1.69932878
14299,1.602561712,1.631955981
14442,1.627225637,1.482134223
14585,1.615039349,1.481763601
14728,1.611236215,1.490107298
14871,1.593279481,1.569220304
15014,1.658887267,1.607645035
15157,1.614784002,1.480171323
15300,1.576187611,1.486361027
15443,1.593673706,1.536432028
15586,1.592449427,1.478149533
15729,1.577005506,1.490105033
15872,1.581247091,1.916368961
16015,1.577238798,1.830693245
16158,1.560557365,1.575897694
16301,1.531823993,1.520963073
16444,1.555488706,1.502375484
16587,1.562125087,1.528745055
16730,1.53977406,1.507040143
16873,1.565694332,1.502490044
17016,1.529702544,1.494327068
17159,1.522603154,1.469459295
17302,1.517190814,1.496945977
17445,1.537274003,1.512823939
17588,1.512388945,1.464593053
17731,1.519057155,1.460031033
17874,1.499770403,1.486746788
18017,1.501864552,1.471242547
18160,1.503027916,1.464450121
18303,1.505147576,1.472979784
18446,1.495671272,1.476636648
18589,1.495510578,1.470681667
18732,1.492608309,1.459079027
18875,1.488419175,1.487026691
19018,1.490584612,1.475614309
19161,1.486880422,1.469938278
19304,1.487141967,1.468918562
19447,1.486736655,1.466201901
19590,1.488205075,1.464306831
19733,1.486238718,1.468462586
19876,1.486323953,1.464727879
20019,1.487425566,1.465917349
20162,1.487985611,1.471229315
20305,1.488912344,1.461984277
20448,1.491402388,1.464118123
20591,1.493270636,1.460051298
20734,1.488780618,1.481206179
20877,1.490104198,1.495043039
21020,1.496141434,1.499873877
21163,1.500950694,1.461049676
21306,1.519117713,1.491095066
21449,1.520244241,1.459991097
21592,1.492416739,1.477679849
21735,1.508925557,1.522642732
21878,1.50313127,1.458944321
22021,1.518138051,1.469659686
22164,1.526859522,1.536428332
22307,1.539272428,1.491065621
22450,1.522586942,1.480059981
22593,1.533095241,1.506471634
22736,1.521671772,1.491701007
22879,1.536759973,1.566370845
23022,1.554967046,1.453482509
23165,1.578638077,1.464544773
23308,1.574598908,1.509463429
23451,1.566497207,1.452785254
23594,1.623991728,1.465770483
23737,1.562952995,1.46421957
23880,1.559981108,1.489749193
24023,1.622609019,2.544697523
24166,1.601369381,1.489248395
24309,1.557600617,1.501046062
24452,1.58208406,1.627382994
24595,1.706191063,2.09303236
24738,1.603258371,1.572232246
24881,1.657653689,1.520821095
25024,1.624679804,1.481898904
25167,1.665835261,1.670153379
25310,1.682429194,1.476783752
25453,1.584466815,1.69016993
25596,1.754138947,1.518404007
25739,1.737027407,1.479094386
25882,1.597425461,1.493078351
26025,1.765108585,1.482489347
26168,1.763720036,1.579422355
26311,1.635677576,1.748027921
26454,1.688839316,1.630242825
26597,1.701305628,1.486713767
26740,1.654892802,1.491703749
26883,1.702457309,1.486926079
27026,1.646617532,1.691941261
27169,1.90102303,1.778832316
27312,1.729987979,1.527576327
27455,1.722699642,1.515571952
27598,1.888923883,1.818695903
27741,1.752619386,1.487870932
27884,1.827788949,1.732115865
28027,1.744483709,1.484128952
28170,1.701011062,1.706617355
28313,1.764806151,1.78407979
28456,1.684308767,1.52690053
28599,1.791471481,1.535204053
