epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,1.4982696171983996e-05,0,,,
0,,0,,5.662491798400879,
,1.4982696171983996e-05,1,,,
0,,1,,1.053423523902893,
,1.4982696171983996e-05,2,,,
0,,2,,0.7189249396324158,
,1.4982696171983996e-05,3,,,
0,,3,,2.326904296875,
,1.4982696171983996e-05,4,,,
0,,4,,2.6941027641296387,
,1.4982696171983996e-05,5,,,
0,,5,,1.5381826162338257,
,1.4982696171983996e-05,6,,,
0,,6,,1.8063721656799316,
,1.4982696171983996e-05,7,,,
0,,7,,1.4685345888137817,
,1.4982696171983996e-05,8,,,
0,,8,,1.7951973676681519,
,1.4982696171983996e-05,9,,,
0,,9,,2.1912474632263184,
,1.4982696171983996e-05,10,,,
0,,10,,4.51575231552124,
,1.4982696171983996e-05,11,,,
0,,11,,1.1572394371032715,
,1.4982696171983996e-05,12,,,
0,,12,,1.475825548171997,
,1.4982696171983996e-05,13,,,
0,,13,,3.0818848609924316,
,1.4982696171983996e-05,14,,,
0,,14,,2.203242301940918,
,1.4982696171983996e-05,15,,,
0,,15,,2.216041326522827,
,1.4982696171983996e-05,16,,,
0,,16,,2.7552950382232666,
,1.4982696171983996e-05,17,,,
0,,17,,3.1266891956329346,
,1.4982696171983996e-05,18,,,
0,,18,,0.7369899153709412,
,1.4982696171983996e-05,19,,,
0,,19,,2.169017791748047,
,1.4982696171983996e-05,20,,,
0,,20,,1.6012754440307617,
,1.4982696171983996e-05,21,,,
0,,21,,4.369168281555176,
,1.4982696171983996e-05,22,,,
0,,22,,2.071457624435425,
,1.4982696171983996e-05,23,,,
0,,23,,0.8403622508049011,
,1.4982696171983996e-05,24,,,
0,,24,,5.32565450668335,
,1.4982696171983996e-05,25,,,
0,,25,,0.756681501865387,
,1.4982696171983996e-05,26,,,
0,,26,,1.4130069017410278,
,1.4982696171983996e-05,27,,,
0,,27,,5.611547470092773,
,1.4982696171983996e-05,28,,,
0,,28,,2.29892897605896,
,1.4982696171983996e-05,29,,,
0,,29,,2.959639072418213,
,1.4982696171983996e-05,30,,,
0,,30,,1.4711071252822876,
,1.4982696171983996e-05,31,,,
0,,31,,1.5457009077072144,
,1.4982696171983996e-05,32,,,
0,,32,,2.3356270790100098,
,1.4982696171983996e-05,33,,,
0,,33,,3.038681983947754,
,1.4982696171983996e-05,34,,,
0,,34,,2.478506565093994,
,1.4982696171983996e-05,35,,,
0,,35,,1.306692123413086,
,1.4982696171983996e-05,36,,,
0,,36,,1.4644551277160645,
,1.4982696171983996e-05,37,,,
0,,37,,2.780225992202759,
,1.4982696171983996e-05,38,,,
0,,38,,2.753394365310669,
,1.4982696171983996e-05,39,,,
0,,39,,0.3364958167076111,
,1.4982696171983996e-05,40,,,
0,,40,,2.254051446914673,
,1.4982696171983996e-05,41,,,
0,,41,,2.3432693481445312,
,1.4982696171983996e-05,42,,,
0,,42,,2.275214672088623,
,1.4982696171983996e-05,43,,,
0,,43,,1.2503635883331299,
,1.4982696171983996e-05,44,,,
0,,44,,2.57678484916687,
,1.4982696171983996e-05,45,,,
0,,45,,1.821363091468811,
,1.4982696171983996e-05,46,,,
0,,46,,2.758925437927246,
,1.4982696171983996e-05,47,,,
0,,47,,3.725597381591797,
,1.4982696171983996e-05,48,,,
0,,48,,0.788558840751648,
,1.4982696171983996e-05,49,,,
0,,49,,2.1432089805603027,
,1.4982696171983996e-05,50,,,
0,,50,,1.5505510568618774,
,1.4982696171983996e-05,51,,,
0,,51,,2.4627511501312256,
,1.4982696171983996e-05,52,,,
0,,52,,1.8040876388549805,
,1.4982696171983996e-05,53,,,
0,,53,,1.1620283126831055,
,1.4982696171983996e-05,54,,,
0,,54,,2.24200701713562,
,1.4982696171983996e-05,55,,,
0,,55,,2.624793291091919,
,1.4982696171983996e-05,56,,,
0,,56,,4.5252766609191895,
,1.4982696171983996e-05,57,,,
0,,57,,1.608328938484192,
,1.4982696171983996e-05,58,,,
0,,58,,0.918758749961853,
,1.4982696171983996e-05,59,,,
0,,59,,2.2311041355133057,
,1.4982696171983996e-05,60,,,
0,,60,,1.9018386602401733,
,1.4982696171983996e-05,61,,,
0,,61,,1.201473593711853,
,1.4982696171983996e-05,62,,,
0,,62,,3.5563364028930664,
,1.4982696171983996e-05,63,,,
0,,63,,2.8937273025512695,
,1.4982696171983996e-05,64,,,
0,,64,,2.398279905319214,
,1.4982696171983996e-05,65,,,
0,,65,,1.7545565366744995,
,1.4982696171983996e-05,66,,,
0,,66,,0.642352283000946,
,1.4982696171983996e-05,67,,,
0,,67,,2.1092820167541504,
,1.4982696171983996e-05,68,,,
0,,68,,2.3110432624816895,
,1.4982696171983996e-05,69,,,
0,,69,,2.2626006603240967,
,1.4982696171983996e-05,70,,,
0,,70,,0.5406708121299744,
,1.4982696171983996e-05,71,,,
0,,71,,2.708428382873535,
,1.4982696171983996e-05,72,,,
